ID,SCHL,SCHG,POVPIP,WKL,FOD1P
444,18,15,0,1,0
445,16,15,0,1,0
446,16,15,0,1,0
447,19,15,0,1,0
448,16,0,0,3,0
449,16,15,0,3,0
450,18,15,0,3,0
451,24,0,93,1,3700
452,16,15,0,1,0
453,23,0,501,1,4801
454,8,0,0,3,0
455,22,0,46,1,6201
456,19,15,0,1,0
457,16,0,0,3,0
458,14,0,0,1,0
459,19,15,0,1,0
460,17,15,0,3,0
461,19,15,0,1,0
462,14,13,0,3,0
463,23,16,0,1,5403
464,21,16,0,1,5507
465,19,15,0,1,0
466,18,15,0,1,0
467,18,15,0,1,0
468,18,15,0,3,0
469,19,0,117,1,0
470,19,0,78,1,0
471,23,0,0,2,5506
472,19,15,0,1,0
473,13,12,0,3,0
474,19,15,0,1,0
475,21,15,0,1,4101
476,14,0,0,2,0
477,16,15,0,3,0
478,17,0,0,1,0
479,16,15,0,1,0
480,16,15,0,1,0
481,6,0,0,3,0
482,24,0,431,1,4801
483,19,15,0,1,0
484,16,15,0,1,0
485,16,15,0,1,0
486,1,0,76,3,0
487,19,15,0,1,0
488,16,15,0,3,0
489,16,0,0,1,0
490,16,15,0,1,0
491,6,0,0,3,0
492,19,15,0,1,0
493,16,15,0,1,0
494,18,15,0,1,0
495,18,15,0,1,0
496,18,15,0,1,0
497,17,0,0,1,0
498,19,15,0,1,0
499,14,0,0,3,0
500,19,15,0,1,0
501,16,0,43,1,0
502,21,0,0,3,6200
503,16,0,0,3,0
504,16,15,0,3,0
505,19,15,0,1,0
506,18,15,0,1,0
507,8,0,0,3,0
508,18,15,0,1,0
509,21,0,0,1,2601
510,18,0,85,2,0
511,14,0,0,3,0
512,24,0,42,1,4801
513,22,0,94,1,3301
514,19,15,0,2,0
515,19,15,0,1,0
516,19,15,0,3,0
517,13,0,0,3,0
518,19,0,0,2,0
519,23,15,0,1,5501
520,11,0,130,3,0
521,19,15,0,1,0
522,21,15,0,1,5502
523,16,15,0,2,0
524,21,0,0,3,6200
525,17,0,0,3,0
526,18,15,0,1,0
527,16,0,0,2,0
528,16,15,0,1,0
529,16,15,61,1,0
530,16,0,0,1,0
531,16,15,0,3,0
532,18,15,0,1,0
533,14,13,52,3,0
534,18,15,0,3,0
535,1,0,76,3,0
536,19,15,0,1,0
537,14,0,0,3,0
538,16,0,130,3,0
539,1,0,76,3,0
540,16,15,0,1,0
541,22,0,0,3,5506
542,16,15,0,1,0
543,19,15,0,1,0
544,16,15,0,1,0
545,16,15,0,1,0
546,17,0,0,3,0
547,13,0,0,2,0
548,11,11,0,0,0
549,18,15,0,1,0
550,18,15,0,1,0
551,14,13,52,3,0
552,16,15,0,1,0
553,16,15,0,3,0
554,19,15,0,1,0
555,12,12,0,3,0
556,18,15,0,3,0
557,13,0,0,3,0
558,24,0,93,1,3700
559,21,0,501,1,5505
560,16,0,119,1,0
561,9,9,119,0,0
562,2,2,119,0,0
563,0,0,119,0,0
564,21,0,501,1,2102
565,23,0,501,1,5506
566,22,0,501,3,6207
567,21,0,397,1,5003
568,17,0,397,3,0
569,19,0,397,1,0
570,22,0,397,2,5200
571,16,0,194,1,0
572,21,0,467,1,5501
573,16,0,126,1,0
574,21,0,501,1,3700
575,22,0,501,1,6005
576,16,0,216,3,0
577,15,0,216,3,0
578,16,0,216,1,0
579,19,0,216,3,0
580,19,15,216,3,0
581,16,0,35,3,0
582,21,0,492,1,2001
583,21,0,501,1,2001
584,24,0,501,1,6001
585,21,0,501,1,6001
586,21,0,277,1,5506
587,21,0,384,1,5506
588,21,0,254,1,5506
589,22,0,340,1,6002
590,21,0,340,3,4901
591,24,0,309,3,2309
592,22,0,309,3,2309
593,18,0,501,1,0
594,24,0,501,3,3301
595,24,0,501,3,5200
596,21,16,78,1,5506
597,19,0,186,3,0
598,16,0,186,1,0
599,5,0,76,1,0
600,23,0,501,1,6402
601,23,0,501,1,6002
602,21,0,501,1,6201
603,21,0,501,1,5501
604,21,0,440,1,5504
605,21,0,316,1,5506
606,18,0,501,3,0
607,23,0,501,1,5098
608,23,0,211,1,3600
609,23,0,447,1,3600
610,23,0,501,1,1901
611,23,0,501,1,3202
612,21,0,331,1,5506
613,21,0,292,1,2901
614,22,16,53,1,2408
615,24,0,501,1,5505
616,11,0,109,2,0
617,23,0,501,1,3608
618,22,0,501,1,4801
619,4,3,501,0,0
620,1,1,501,0,0
621,21,0,501,1,6200
622,22,0,501,2,3301
623,22,0,501,1,6107
624,21,0,501,1,5301
625,23,0,501,1,6203
626,21,0,501,1,5507
627,0,0,501,0,0
628,23,0,501,1,5506
629,5,4,501,0,0
630,18,0,501,2,0
631,22,0,501,1,6207
632,22,0,501,1,2307
633,14,13,501,3,0
634,16,0,501,1,0
635,21,0,501,1,6211
636,23,0,501,1,2602
637,22,0,501,1,5506
638,21,0,501,1,5506
639,21,0,35,1,6204
640,22,0,463,1,2313
641,21,0,501,1,2414
642,21,0,501,1,6004
643,23,0,501,1,5505
644,22,0,501,1,3301
645,12,11,501,0,0
646,18,15,141,3,0
647,19,0,141,3,0
648,17,0,141,3,0
649,16,15,85,1,0
650,16,0,325,1,0
651,16,0,325,1,0
652,22,0,501,1,5502
653,22,0,501,1,5506
654,24,0,501,1,5200
655,0,0,501,0,0
656,0,0,501,0,0
657,21,0,501,1,1902
658,22,0,501,1,6005
659,21,16,501,1,2603
660,14,13,501,1,0
661,10,9,501,0,0
662,24,0,501,1,2418
663,20,0,501,1,0
664,22,0,501,1,6402
665,23,0,501,1,6402
