SCHL,SCHG,POVPIP,WKL,FOD1P
21,0,397,1,5003
17,0,397,3,0
19,0,397,1,0
22,0,397,2,5200
16,0,194,1,0
21,0,467,1,5501
16,0,126,1,0
21,0,501,1,3700
22,0,501,1,6005
16,0,216,3,0
15,0,216,3,0
16,0,216,1,0
19,0,216,3,0
19,15,216,3,0
16,0,35,3,0
21,0,492,1,2001
21,0,501,1,2001
24,0,501,1,6001
21,0,501,1,6001
21,0,277,1,5506
21,0,384,1,5506
21,0,254,1,5506
22,0,340,1,6002
21,0,340,3,4901
24,0,309,3,2309
22,0,309,3,2309
18,0,501,1,0
24,0,501,3,3301
24,0,501,3,5200
21,16,78,1,5506
19,0,186,3,0
16,0,186,1,0
5,0,76,1,0
23,0,501,1,6402
23,0,501,1,6002
21,0,501,1,6201
21,0,501,1,5501
21,0,440,1,5504
21,0,316,1,5506
18,0,501,3,0
23,0,501,1,5098
23,0,211,1,3600
23,0,447,1,3600
23,0,501,1,1901
23,0,501,1,3202
21,0,331,1,5506
21,0,292,1,2901
22,16,53,1,2408
24,0,501,1,5505
11,0,109,2,0
23,0,501,1,3608
22,0,501,1,4801
4,3,501,0,0
1,1,501,0,0
21,0,501,1,6200
22,0,501,2,3301
22,0,501,1,6107
21,0,501,1,5301
23,0,501,1,6203
21,0,501,1,5507
0,0,501,0,0
23,0,501,1,5506
5,4,501,0,0
18,0,501,2,0
22,0,501,1,6207
22,0,501,1,2307
14,13,501,3,0
16,0,501,1,0
21,0,501,1,6211
23,0,501,1,2602
22,0,501,1,5506
21,0,501,1,5506
21,0,35,1,6204
22,0,463,1,2313
21,0,501,1,2414
21,0,501,1,6004
23,0,501,1,5505
22,0,501,1,3301
12,11,501,0,0
18,15,141,3,0
19,0,141,3,0
17,0,141,3,0
16,15,85,1,0
16,0,325,1,0
16,0,325,1,0
22,0,501,1,5502
22,0,501,1,5506
24,0,501,1,5200
0,0,501,0,0
0,0,501,0,0
21,0,501,1,1902
22,0,501,1,6005
21,16,501,1,2603
14,13,501,1,0
10,9,501,0,0
24,0,501,1,2418
20,0,501,1,0
22,0,501,1,6402
23,0,501,1,6402
23,0,501,1,5505
23,0,501,1,4001
18,0,501,1,0
18,0,501,1,0
22,0,501,2,3600
22,0,501,1,1901
22,0,501,1,5506
11,11,501,0,0
19,0,501,1,0
21,0,501,1,6005
22,0,470,1,5506
24,0,501,1,5004
14,0,70,3,0
23,16,501,1,1904
21,16,501,1,6203
14,0,83,3,0
19,0,452,1,0
11,11,452,0,0
21,0,501,1,5506
22,0,501,1,3600
23,0,501,1,5506
24,0,501,1,5501
8,7,501,0,0
6,5,501,0,0
23,0,501,1,3301
22,0,501,1,2412
6,5,501,0,0
3,2,501,0,0
18,0,347,1,0
16,0,501,1,0
22,0,501,1,5200
21,0,501,1,1901
22,0,501,1,5200
19,0,501,1,0
19,0,501,1,0
16,0,501,3,0
14,0,404,1,0
17,0,404,3,0
23,0,501,1,5506
16,0,270,1,0
22,16,470,2,5301
11,0,470,1,0
16,14,93,1,0
16,0,501,2,0
9,0,501,1,0
19,0,501,1,0
22,0,92,1,5501
1,0,244,3,0
16,0,244,3,0
23,0,501,3,2304
16,0,366,3,0
16,0,366,1,0
16,0,366,1,0
22,0,501,1,5003
23,0,501,1,3600
23,0,501,2,6402
