ID,SCHL,SCHG,POVPIP,WKL,FOD1P
485,16,0,0,3,0
486,16,15,0,1,0
487,11,0,0,3,0
488,18,15,0,1,0
489,16,0,0,1,0
490,19,0,98,3,0
491,16,15,0,1,0
492,16,15,0,1,0
493,21,0,113,1,5507
494,18,15,0,1,0
495,19,15,0,1,0
496,16,0,0,3,0
497,19,0,117,3,0
498,19,15,0,1,0
499,16,15,0,1,0
500,16,15,0,2,0
501,19,0,17,1,0
502,16,0,90,1,0
503,17,0,0,2,0
504,21,0,0,1,6200
505,12,0,0,1,0
506,19,15,0,1,0
507,16,15,0,1,0
508,16,0,49,1,0
509,19,0,98,3,0
510,16,0,0,3,0
511,19,15,0,1,0
512,19,15,0,1,0
513,16,0,0,3,0
514,19,0,0,1,0
515,21,0,40,1,5505
516,11,0,74,3,0
517,16,0,0,3,0
518,14,0,0,3,0
519,19,15,0,1,0
520,16,0,0,3,0
521,5,0,0,3,0
522,16,0,61,1,0
523,18,15,0,1,0
524,16,0,0,3,0
525,19,0,0,1,0
526,16,15,0,1,0
527,19,15,0,1,0
528,16,0,57,1,0
529,19,15,0,1,0
530,12,0,0,1,0
531,19,15,207,1,0
532,18,15,0,1,0
533,18,15,0,3,0
534,19,15,0,1,0
535,19,15,0,1,0
536,19,15,0,1,0
537,16,15,0,1,0
538,16,0,0,2,0
539,13,13,0,3,0
540,11,0,0,3,0
541,19,15,0,1,0
542,16,0,0,2,0
543,19,15,0,1,0
544,19,0,98,3,0
545,16,15,0,2,0
546,19,15,207,1,0
547,19,15,0,1,0
548,1,0,70,3,0
549,19,0,33,3,0
550,19,15,0,1,0
551,21,0,0,1,5301
552,19,0,0,2,0
553,16,0,0,2,0
554,11,0,0,3,0
555,19,15,0,1,0
556,12,0,0,3,0
557,21,0,40,1,5505
558,22,0,0,3,5507
559,19,15,0,1,0
560,19,0,73,3,0
561,19,15,0,1,0
562,19,0,0,3,0
563,8,0,0,3,0
564,21,0,40,1,5505
565,19,15,0,1,0
566,16,0,0,1,0
567,21,0,0,3,1302
568,21,0,113,1,5507
569,19,15,0,1,0
570,17,0,0,1,0
571,16,0,0,3,0
572,18,0,39,1,0
573,14,13,0,3,0
574,20,0,58,1,0
575,19,15,0,1,0
576,16,0,0,3,0
577,19,15,0,1,0
578,16,15,0,1,0
579,19,15,207,1,0
580,19,15,0,1,0
581,11,0,0,3,0
582,17,0,0,1,0
583,14,13,0,3,0
584,16,15,0,1,0
585,18,15,0,3,0
586,16,0,0,3,0
587,17,0,0,2,0
588,19,15,0,1,0
589,16,0,57,1,0
590,14,13,0,3,0
591,18,0,0,3,0
592,16,0,57,1,0
593,19,15,0,1,0
594,14,0,0,3,0
595,19,15,0,1,0
596,16,15,0,1,0
597,17,0,0,2,0
598,14,14,0,3,0
599,18,15,0,1,0
600,19,15,0,1,0
601,19,0,0,2,0
602,19,0,0,2,0
603,16,0,49,1,0
604,17,0,0,3,0
605,18,15,0,3,0
606,18,0,0,3,0
607,19,15,0,1,0
608,13,13,0,3,0
609,19,15,0,1,0
610,18,15,0,2,0
611,18,15,0,1,0
612,19,15,0,1,0
613,16,0,0,3,0
614,16,15,0,1,0
615,19,0,0,1,0
616,19,0,117,3,0
617,19,15,0,1,0
618,16,0,61,1,0
619,16,15,0,1,0
620,14,13,0,3,0
621,18,0,69,3,0
622,1,0,73,3,0
623,18,15,0,1,0
624,16,0,0,3,0
625,21,0,0,1,4000
626,19,15,0,1,0
627,18,0,0,3,0
628,19,15,0,1,0
629,16,0,115,1,0
630,16,0,0,3,0
631,16,15,0,1,0
632,16,15,0,1,0
633,19,15,0,1,0
634,16,15,0,1,0
635,19,15,0,1,0
636,16,15,0,1,0
637,18,15,0,1,0
638,19,15,207,1,0
639,19,0,120,1,0
640,19,15,0,1,0
641,19,15,0,1,0
642,14,15,0,1,0
643,19,15,0,1,0
644,16,0,0,1,0
645,19,0,135,3,0
646,16,15,0,1,0
647,16,0,0,1,0
648,18,15,0,1,0
649,22,0,0,3,6402
650,16,15,0,1,0
651,21,0,9,1,2102
652,16,15,0,3,0
653,18,0,69,3,0
654,19,15,0,1,0
655,12,11,0,0,0
656,16,15,0,1,0
657,18,15,0,1,0
658,16,0,0,3,0
659,21,0,0,1,5505
660,20,0,0,2,0
661,19,15,0,1,0
662,19,15,0,1,0
663,20,0,0,1,0
664,16,15,0,1,0
665,16,15,0,2,0
666,12,0,1,1,0
667,19,15,0,1,0
668,16,0,0,3,0
669,16,0,0,3,0
670,18,0,0,3,0
671,19,15,0,1,0
672,19,15,0,1,0
673,13,13,0,2,0
674,1,0,70,3,0
675,16,15,0,1,0
676,13,0,0,3,0
677,20,15,0,1,0
678,19,15,0,1,0
679,19,15,0,1,0
680,18,0,69,3,0
681,18,0,0,3,0
682,19,15,0,1,0
683,17,15,0,1,0
684,16,15,0,1,0
685,17,0,0,3,0
686,18,15,0,1,0
687,18,0,0,3,0
688,1,0,166,1,0
689,18,15,0,3,0
690,19,15,0,1,0
691,19,0,0,3,0
692,20,15,0,1,0
693,16,0,0,3,0
694,1,0,70,3,0
695,17,0,0,3,0
696,17,0,0,1,0
697,16,15,0,1,0
698,16,15,0,1,0
699,17,0,0,1,0
700,11,0,0,3,0
701,19,15,0,3,0
702,19,0,0,3,0
703,19,15,0,1,0
704,1,0,70,3,0
705,19,0,0,1,0
706,18,15,0,3,0
707,9,9,0,0,0
708,16,0,0,3,0
709,18,15,0,1,0
710,19,15,0,1,0
711,18,15,0,1,0
712,16,0,46,1,0
713,19,15,0,1,0
714,19,0,55,3,0
715,16,0,134,3,0
716,16,0,134,3,0
717,18,0,0,3,0
718,12,0,0,3,0
719,22,0,0,1,3301
720,16,0,0,1,0
721,19,15,0,1,0
722,16,0,0,3,0
723,19,15,0,1,0
724,16,0,90,1,0
725,18,15,0,1,0
726,1,0,73,3,0
727,19,15,0,1,0
728,19,15,0,1,0
729,16,15,0,1,0
730,19,15,0,1,0
731,13,13,0,3,0
732,22,0,0,3,6000
733,19,0,0,2,0
734,16,15,0,3,0
735,19,15,0,1,0
736,19,0,0,2,0
737,16,15,0,1,0
738,22,0,0,3,6000
739,16,0,0,3,0
740,18,15,0,3,0
741,17,0,0,3,0
742,19,15,0,1,0
743,19,15,0,1,0
744,16,0,46,1,0
745,18,15,0,1,0
